JUGADOR,EQUIPO,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ID
Luke Travers,Cleveland Cavaliers,12,0,7.3,0.4,1.7,0.25,0.0,0.8,0.0,0.2,0.2,1.0,0.7,1.0,1.7,0.7,0.1,0.1,0.7,0.5,1.0,1631247
Nae'Qwan Tomlin,Cleveland Cavaliers,5,1,12.6,2.6,6.4,0.406,0.4,2.0,0.2,1.6,2.2,0.727,1.8,2.4,4.2,0.4,0.0,0.2,0.4,1.8,7.2,1641772
Donovan Mitchell,Cleveland Cavaliers,71,71,31.4,8.2,18.6,0.443,3.3,8.9,0.368,4.2,5.1,0.823,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,1628378
Zion Williamson,New Orleans Pelicans,30,30,28.6,9.6,16.9,0.567,0.1,0.4,0.231,5.3,8.0,0.656,2.5,4.7,7.2,5.3,1.2,0.9,3.0,2.7,24.6,1629627
Herbert Jones,New Orleans Pelicans,20,20,32.4,3.8,8.6,0.436,1.1,3.6,0.306,1.7,2.0,0.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3,1630529
Jordan Poole,New Orleans Pelicans,68,68,29.4,6.7,15.5,0.432,3.5,9.1,0.378,3.6,4.0,0.883,0.5,2.5,3.0,4.5,1.3,0.4,3.0,3.0,20.5,1629673
Dejounte Murray,New Orleans Pelicans,31,31,32.6,6.3,15.9,0.393,1.7,5.6,0.299,3.3,4.0,0.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,1627749
DeAndre Jordan,New Orleans Pelicans,56,5,12.3,1.6,2.5,0.65,0.0,0.0,0.0,0.5,1.1,0.422,1.5,3.6,5.1,0.9,0.3,0.5,0.7,1.3,3.7,201599
Bryce McGowens,New Orleans Pelicans,13,0,2.5,0.3,1.1,0.286,0.0,0.3,0.0,0.4,0.5,0.833,0.2,0.1,0.2,0.2,0.1,0.0,0.3,0.2,1.0,1631121
Jose Alvarado,New Orleans Pelicans,56,23,24.4,3.6,9.3,0.392,2.0,5.5,0.359,1.1,1.3,0.811,0.5,1.9,2.4,4.6,1.3,0.3,1.5,1.6,10.3,1630631
Karlo Matković,New Orleans Pelicans,42,7,18.8,3.2,5.6,0.574,0.5,1.6,0.318,0.8,1.0,0.773,1.5,3.5,5.0,1.1,0.5,1.0,1.0,2.5,7.7,1631255
Yves Missi,New Orleans Pelicans,73,67,26.8,3.7,6.7,0.547,0.0,0.0,0.0,1.7,2.8,0.623,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2.0,9.1,1642274
Trey Alexander,New Orleans Pelicans,24,0,4.9,0.5,1.7,0.317,0.1,0.7,0.176,0.1,0.2,0.75,0.0,0.5,0.5,0.5,0.1,0.0,0.2,0.4,1.3,1641725
Jordan Hawkins,New Orleans Pelicans,56,9,23.6,3.7,9.9,0.372,2.0,5.9,0.331,1.4,1.8,0.816,0.4,2.4,2.8,1.2,0.5,0.4,1.0,0.9,10.8,1641722
Trey Murphy III,New Orleans Pelicans,53,51,35.0,7.2,15.8,0.454,3.0,8.3,0.361,3.8,4.3,0.887,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2,1630530
Kevon Looney,New Orleans Pelicans,76,6,15.0,1.9,3.7,0.514,0.0,0.1,0.4,0.7,1.3,0.566,2.4,3.6,6.1,1.6,0.6,0.5,0.5,2.0,4.5,1626172
Coby White,Chicago Bulls,74,73,33.1,6.9,15.1,0.453,2.9,7.9,0.37,3.7,4.1,0.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4,1629632
Trentyn Flowers,Chicago Bulls,6,0,4.5,0.7,1.8,0.364,0.0,0.3,0.0,0.5,0.5,1.0,0.2,0.5,0.7,0.0,0.0,0.0,0.2,0.7,1.8,1642280
Emanuel Miller,Chicago Bulls,6,0,4.2,0.7,1.3,0.5,0.0,0.2,0.0,0.3,0.3,1.0,0.7,0.7,1.3,0.3,0.2,0.0,0.0,0.5,1.7,1641801
Josh Giddey,Chicago Bulls,70,69,30.2,5.3,11.4,0.465,1.5,4.0,0.378,2.5,3.2,0.781,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,14.6,1630581
Jevon Carter,Chicago Bulls,36,1,8.9,1.5,4.1,0.377,1.0,2.9,0.333,0.2,0.3,0.8,0.1,1.0,1.1,1.1,0.4,0.1,0.3,0.4,4.3,1628975
Dalen Terry,Chicago Bulls,73,5,13.5,1.6,3.7,0.448,0.5,1.4,0.356,0.7,0.9,0.71,0.5,1.2,1.7,1.3,0.6,0.2,0.7,1.6,4.5,1631207
Nikola Vučević,Chicago Bulls,73,72,31.2,7.5,14.2,0.53,1.8,4.4,0.402,1.6,2.0,0.805,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,18.5,202696
